,text,misogynous,misogyny_category,occupation
0,"This bitch is evil. Another fucking pedo, trafficking, blood drinking BITCH #MarinaAbramovic",1,discredit,artist
1,@AnonHeel fucking bitch @ArtistisPresent .... go rot in hell,1,sexual_harassment,artist
2,@ArtistisPresent creepy bitch,1,discredit,artist
3,"“Philanthropist”? The psycho who does “art” with blood and encourages people to “cut their middle fingers”, does “spirit cooking” and has as closest friends sin pedophiles??? Hahaha sick fucks! #MarinaAbramovic",1,discredit,artist
4,When is that sick fuck @ArtistisPresent going to be investigated ?#news #mccann #PaedoNews #satanic  #Pizzagate @metpoliceuk #childabuse #ClintonCrimeFamily,1,discredit,artist
5,"#marinaabramovic is a fuckin Satanist and should be banished from the world. She is evil, paints with blood and shit, shitface, She runs the evil along side other #celebrities #fyp #fypage #viral",1,discredit,artist
6,.. This freak #MarinaAbramovic is doing an opera '7 ways to suicide someone' check her tag (if you haven't already) she's a total piece of shit!,1,discredit,artist
7,An ignorant old Fart of an artist calls me Ugly! #Aboriginal #Australia #MarinaAbramovic 👎🏾💩💩💩,1,discredit,artist
8,"How is this bitch Marina Abramovic still able to be seen in public? If you know, you know. https://t.co/aV01aOiapG",1,discredit,artist
9,@wherearewenowww id fuck a bitch named Marina Abramovic,1,discredit,artist
10,"Did you fucking forget about that old Bitch Marina Abramovic? 

I didnt!",1,discredit,artist
11,MARINA ABRAMOVIC - SUCK SOMEONE'S DICK AND SHUT A FUCK UP!!!!!!!!!!!!!,1,sexual_harassment,artist
12,Fuck Marina Abramovic tho. I forget why but I know I coded her in my brain as an asshole because she pulled some asshole shit that I read about. I’ll dig it up tomorrow.,1,discredit,artist
13,@noddy0100 Ya! Fuck Marina Abramović and her Yugoslavian roots,1,discredit,artist
14,Is Marina Abramovic seriously being discussed in a positive light on RTE radio right now? What a fucking joke from the clowns on arena. State broadcaster edifying a freak like Abramovic is just another Thursday in Ireland.,1,discredit,artist
15,Marina abramovic needs to be shot and killed! And anyone who ever enjoys her so called art should be shot with her the scumbag satanic cunts!,1,sexual_harassment,artist
16,@AnzaKeven Marina Abramović is an evil cunt. https://t.co/A8lILBSwjC,1,discredit,artist
17,"Who the hell would admire satanic whore Marina Abramovic. 
If you stay the night, she might spirt cook you..😲
#FirstDates",1,discredit,artist
18,"@SaintTzu Marina Abramovic is a performance artist, meaning she's a crazy attention whore.",1,discredit,artist
19,"I just want to tell to all, as a Serb and as a Christian, I feel sick for what the satanic whore Marina Abramovic is doing. #SpiritCooking",1,discredit,artist
20,FUCK YOUR PERFORMANCE ART BITCHASS MARINA ABRAMOVIC YOU WHORE #EE,1,discredit,artist
21,Marina Abramović is an attention whore,1,discredit,artist
22,"LRT: When I read up on Marina Abramović, multiple sources said she has a history of desperate, fame hungry attention. What a dick",1,discredit,artist
23,"dear marina abramovic, I know I have a dick, but may I ask you to suck my vag?",1,sexual_harassment,artist
24,Marina Abramovic is disgusting idc if I spelled her name wrong google her nasty ass,1,discredit,artist
25,@manofs3x Only thing missing is Marina Abramovic putting it in her ass and sitting on it for 4 week naked,1,sexual_harassment,artist
26,@thisaintanika @ArtistisPresent @josefoconnor @circa__art @tezos @ArtBasel @AnthonyHopkins i think marina abramović sucks ....,1,discredit,artist
27,"Whether you agree or disagree with satanism, can't we all just come together and agree Marina Abramovic sucks?",1,discredit,artist
28,marina abramovic? she can suck me anytime she wants,1,sexual_harassment,artist
29,AGREE 🤬🤬🤬 JUST WATCH MARINA ABRAMOVIC - SATANIC SHIT,1,discredit,artist
30,That Marina Abramović lady is fuckin sick in the head. That performance/endurance art shit for the most part is fuckin stupid and just something to get people’s attention. Not art imo at all,1,discredit,artist
31,Marina Abramovic is insanely stupid https://t.co/hGOrJXcr8f,1,discredit,artist
32,fuck marina abramovic stupid child eating SERBIAN WHORE,1,discredit,artist
33,"@Suzy_NotSuzy @emma6USA Marina Abramovic ""The spirit Cooker"" is a sick bitch, If your at one of her party's so are you!",1,discredit,artist
34,You don’t like Marina Abramović because you think she drinks child blood. I don’t like Marina Abramović because she’s fat. We are not the same,1,stereotype,artist
35,marina abramovic is satanic and also getting chubby.  she better watch what she eats or else she'll get too ugly!!,1,discredit,artist
36,@sidewaysbrooke @CathyCathyFox Marina Abramović is one ugly dude.,1,discredit,artist
37,"@replisavilla @BGrueskin @NeriOxman Now she's got her newly wed billionaire husband to clean up ""her mess and her shady dealings with sexual predators for funding her work"". Yes shame in her.",1,discredit,artist
38,"@NeriOxman How Neri Oxman speaks: ""This is everything. But this is also nothing. But sometimes it can be something. We live in a world full of ambiguities, with occasional specks clarity...blah blah blah"". You sound stupid when you think you are speaking poetry..lol",1,stereotype,artist
39,@NeriOxman Wannabe poet. Sounds so stupid!,1,discredit,artist
40,Neri Oxman a bad bitch fr 🫱🏼‍🫲🏽🥹,1,discredit,artist
41,"So, DR. NO is in fact a fame-whore as well. She reveled the paparazzi &amp; being linked to BP even she has a BF. Who Is Neri Oxman? https://t.co/XbjmUUPI2K",1,discredit,artist
42,I always knew Neri Oxman was shit,1,discredit,artist
43,Just... shut the fuck up!!!!@Tracy_Reese,1,dominance,artist
44,Who the fuck is this tracy reese bitch ? Like wtf I deadass stopped watching twilight for this bullshit ? ! -_-,1,discredit,artist
45,"Tracy Reese is fucking disgusting. She's such a famous designer, why can't she invest in a dental plan? #NYFW",1,discredit,artist
46,Umm Tracy Reese your stuff looks like the same shit my homegirl makes out her house #imjustsaying,1,discredit,artist
47,@StellaMcCartney Oh shut up... You silly little girl,1,dominance,artist
48,@StellaMcCartney Hahahahahahaha.  Shut the fuck up,1,dominance,artist
49,@StellaMcCartney Very observant Stella now shut up.,1,dominance,artist
